#,Country/territory,Date of first store,First outlet location,No. ofoperatingoutlets,Source and date of source,Population per outlet,Notes
87,India,"October 13, 1996[45]",New Delhi,757,"(source: Corporate McDonald's December 31, 2025)[5]","1,950,628",First outlet inSouth Asia. SeeMcDonald's IndiaArchived2023-10-27 at theWayback Machine
88,Peru,"October 18, 1996","San Isidro,Lima",30,"(source: Corporate McDonald's December 31, 2025)[5]","1,164,072",SeeMcDonald's Peru
89,Jordan,"November 7, 1996",Amman,45,"(source: Corporate McDonald's December 31, 2025)[5]","257.0,545",SeeMcDonald's JordanArchived2022-12-29 at theWayback Machine
90,Paraguay,"November 21, 1996",Asunción,30,"(source: Corporate McDonald's December 31, 2025)[5]",236.00000009,SeeMcDonald's Paraguay
91,Dominican Republic,"November 30, 1996",Santo Domingo,25,"(source: Corporate McDonald's December 31, 2025)[5]",464.000000000,"Country with the second most locations of McDonald's in the Caribbean, after Puerto Rico. SeeMcDonald's Dominican Republic"
92,French Polynesia(territory of France),"December 10, 1996",Tahiti,5,"(source: Corporate McDonald's December 31, 2025)[5]","56.0,615",See:https://www.facebook.com/McDonalds.Tahiti
93,Trinidad and Tobago,"May 6, 1997",The Falls at West Mall,4,"(source: Corporate McDonald's December 31, 2025)[5]","378.0,317","McDonald's previously had stores in Trinidad (May 6, 1997 – October 25, 2003) but closed due to low sales. Re-opened at The Falls at West Mall in 2011.[46]"
94,Ukraine,"May 24, 1997",NearLukianivskametro station inKyiv,135,"(source: Corporate McDonald's December 31, 2025)[5]","292.0,858",All three restaurants in the peninsula ofCrimeawere permanently closed after the Russian military invasion in March 2014.[47][48]The 2 restaurants inDonetskand the only one inLuhanskwere also permanently closed after theWar in Donbasintensified in late 2014.[49][50]All restaurants in Ukraine were temporarily closed down due to theRussian invasion of Ukrainein February 2022; they reopened in September that same year.[51]The restaurant inKhersonwas destroyedduring the Russian occupationand the restaurant inMelitopolremains closed as the city isunder Russian controlsince March 2022.[52]SeeMcDonald's Ukraine
95,Cyprus,"June 12, 1997",Larnaca,23,"(source: Corporate McDonald's December 31, 2025)[5]",42.00000003,SeeMcDonald's Cyprus
96,Jersey(BritishCrown dependency),"August 1, 1997",Saint Helier,1,?,104.000000000,
97,Ecuador,"October 9, 1997","Centro Comercial Iñaquito (CCI),Quito",36,"(source: Corporate McDonald's December 31, 2025)[5]","512.0,347",SeeMcDonald's Ecuador
98,Réunion(part of France),"December 14, 1997",Saint-Denis,18,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,239",SeeMcDonald's Réunion
99,Isle of Man(BritishCrown dependency),"December 15, 1997",Douglas,1,?,84.0000055,
100,Suriname,"December 18, 1997",Paramaribo,2,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,628",
101,Moldova,"April 30, 1998",Chișinău,11,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,205",SeeMcDonald's Moldova
102,Nicaragua,"July 11, 1998",Managua,10,"(source: Corporate McDonald's December 31, 2025)[5]","709.0,733","All McDonald's outlets in Nicaragua temporarily ceased operation during theNicaraguan Civil Warand were re-opened in 1998 after an absence of two decades. Amidst the war, however, one outlet continued operations as ""Donald's"".[53]SeeMcDonald's Nicaragua"
103,Lebanon,"September 18, 1998",Beirut,23,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,412",SeeMcDonald's Lebanon
104,Pakistan(details),"September 19, 1998[54]",Lahore,70,"(source: Corporate McDonald's December 31, 2025)[5]","3,704,283",SeeMcDonald's Pakistan
105,Georgia,"February 5, 1999","Rustaveli Avenue,Tbilisi",27,"(source: Corporate McDonald's December 31, 2025)[5]","140.0,913",First outlet in theCaucasus. SeeMcDonald's Georgia
106,Gibraltar(territory of United Kingdom),"August 13, 1999",Westside,1,(source: 2018),"40.0,867",SeeMcDonald's Spain
107,Azerbaijan,"November 6, 1999","Fountains Square,Baku",34,"(source: Corporate McDonald's December 31, 2025)[5]","307.0,496",SeeMcDonald's Azerbaijan
108,French Guiana(part of France),"February 22, 2000",Cayenne,3,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,291",SeeMcDonald's French Antilles
109,American Samoa(territory of United States),"September 29, 2000",Pago Pago(now closed),1,(source: McDonald's US 2024),"45.0,319",
110,Mauritius,"July 4, 2001",Port Louis,18,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,281",SeeMcDonald's Mauritius
111,Vietnam,"February 8, 2014",Ho Chi Minh City,45,"(source: Corporate McDonald's December 31, 2025)[5]","2,270,610",SeeMcDonald's VietnamArchived2022-01-31 at theWayback Machine
112,Saint Martin(territory of France),"December 29, 2014[55]",Marigot,1,(source: McDonald's Saint-Martin)[56],"31.0,496",
113,Western Sahara(Morocco's Southern Provinces),"August 10, 2017",Laayoune,1,(source: Publico)[citation needed],"610.0,813"
